WRKLOSSRV,ANXIOUS,WORRY,INTEREST,DOWN,SCRAM
0.0,0.0,0.0,1.0,1.0,P030000135
0.0,0.0,0.0,1.0,0.0,P030000136
0.0,1.0,1.0,0.0,1.0,P030000137
0.0,0.0,0.0,1.0,0.0,P030000138
0.0,1.0,1.0,0.0,1.0,P030000139
0.0,0.0,0.0,1.0,0.0,P030000140
0.0,0.0,0.0,1.0,0.0,P030000141
0.0,0.0,0.0,1.0,0.0,P030000143
0.0,0.0,0.0,1.0,0.0,P030000144
0.0,0.0,0.0,1.0,0.0,P030000145
0.0,1.0,1.0,0.0,1.0,P030000146
0.0,1.0,1.0,0.0,1.0,P030000147
1.0,0.0,0.0,1.0,0.0,P030000149
0.0,0.0,0.0,1.0,0.0,P030000150
0.0,0.0,0.0,1.0,0.0,P030000151
0.0,0.0,0.0,1.0,0.0,P030000155
0.0,1.0,1.0,0.0,1.0,P030000157
0.0,0.0,0.0,1.0,0.0,P030000158
0.0,1.0,1.0,0.0,1.0,P030000159
0.0,0.0,0.0,1.0,0.0,P030000160
0.0,0.0,0.0,0.0,0.0,P030000161
0.0,0.0,0.0,1.0,0.0,P030000162
0.0,0.0,0.0,1.0,0.0,P030000164
0.0,1.0,0.0,1.0,0.0,P030000165
0.0,1.0,1.0,1.0,0.0,P030000166
0.0,1.0,1.0,0.0,1.0,P030000167
0.0,1.0,1.0,0.0,1.0,P030000168
0.0,1.0,0.0,0.0,1.0,P030000169
0.0,0.0,0.0,1.0,0.0,P030000170
0.0,0.0,0.0,1.0,0.0,P030000171
1.0,0.0,0.0,1.0,1.0,P030000172
0.0,1.0,1.0,0.0,1.0,P030000173
0.0,0.0,0.0,1.0,0.0,P030000174
0.0,1.0,1.0,0.0,1.0,P030000175
0.0,0.0,0.0,1.0,0.0,P030000176
0.0,0.0,0.0,1.0,0.0,P030000177
0.0,1.0,1.0,0.0,1.0,P030000178
0.0,0.0,0.0,1.0,0.0,P030000179
0.0,1.0,0.0,0.0,1.0,P030000180
0.0,0.0,1.0,0.0,1.0,P030000181
0.0,0.0,0.0,0.0,1.0,P030000182
0.0,0.0,0.0,1.0,0.0,P030000183
0.0,0.0,0.0,1.0,0.0,P030000184
0.0,0.0,0.0,0.0,0.0,P030000185
0.0,1.0,1.0,1.0,1.0,P030000186
0.0,1.0,1.0,0.0,1.0,P030000187
0.0,0.0,0.0,1.0,0.0,P030000188
0.0,0.0,0.0,1.0,0.0,P030000189
0.0,0.0,0.0,1.0,0.0,P030000190
1.0,1.0,0.0,1.0,1.0,P030000191
0.0,0.0,0.0,1.0,0.0,P030000192
0.0,1.0,1.0,0.0,1.0,P030000193
0.0,1.0,0.0,1.0,0.0,P030000194
0.0,0.0,0.0,1.0,0.0,P030000195
0.0,1.0,1.0,0.0,1.0,P030000196
0.0,0.0,0.0,1.0,0.0,P030000197
0.0,0.0,0.0,1.0,0.0,P030000199
0.0,0.0,0.0,1.0,0.0,P030000200
0.0,0.0,1.0,0.0,1.0,P030000201
1.0,1.0,1.0,0.0,1.0,P030000202
0.0,0.0,0.0,1.0,0.0,P030000203
0.0,0.0,0.0,1.0,0.0,P030000204
0.0,0.0,0.0,1.0,0.0,P030000205
1.0,1.0,1.0,0.0,1.0,P030000206
0.0,1.0,1.0,1.0,0.0,P030000207
1.0,0.0,0.0,1.0,0.0,P030000208
0.0,1.0,0.0,1.0,1.0,P030000209
0.0,0.0,0.0,1.0,0.0,P030000210
0.0,0.0,0.0,1.0,0.0,P030000211
0.0,1.0,1.0,0.0,1.0,P030000212
0.0,1.0,0.0,1.0,0.0,P030000213
0.0,0.0,0.0,0.0,1.0,P030000214
0.0,0.0,0.0,1.0,0.0,P030000215
0.0,0.0,0.0,1.0,0.0,P030000216
0.0,1.0,0.0,1.0,0.0,P030000217
0.0,1.0,1.0,1.0,1.0,P030000218
0.0,0.0,0.0,1.0,1.0,P030000219
0.0,0.0,0.0,0.0,1.0,P030000220
0.0,0.0,0.0,1.0,0.0,P030000221
0.0,0.0,0.0,1.0,0.0,P030000222
0.0,0.0,0.0,1.0,0.0,P030000223
0.0,1.0,0.0,0.0,1.0,P030000224
0.0,0.0,0.0,0.0,0.0,P030000225
0.0,1.0,0.0,1.0,0.0,P030000226
0.0,0.0,0.0,1.0,0.0,P030000227
0.0,0.0,0.0,1.0,0.0,P030000228
0.0,1.0,1.0,0.0,1.0,P030000229
0.0,0.0,1.0,0.0,0.0,P030000230
0.0,1.0,1.0,0.0,1.0,P030000231
0.0,0.0,0.0,1.0,0.0,P030000232
0.0,1.0,0.0,0.0,0.0,P030000233
0.0,1.0,1.0,0.0,1.0,P030000234
1.0,0.0,1.0,1.0,0.0,P030000235
0.0,0.0,0.0,1.0,0.0,P030000236
0.0,0.0,0.0,1.0,0.0,P030000238
1.0,1.0,1.0,1.0,0.0,P030000239
0.0,0.0,0.0,1.0,1.0,P030000240
0.0,1.0,1.0,1.0,1.0,P030000241
1.0,1.0,1.0,1.0,0.0,P030000242
0.0,1.0,1.0,0.0,1.0,P030000243
0.0,0.0,0.0,1.0,0.0,P030000244
0.0,0.0,0.0,1.0,0.0,P030000245
0.0,1.0,1.0,0.0,1.0,P030000246
0.0,1.0,1.0,0.0,1.0,P030000247
0.0,0.0,0.0,1.0,0.0,P030000248
0.0,0.0,1.0,1.0,0.0,P030000250
0.0,1.0,0.0,1.0,0.0,P030000251
1.0,1.0,1.0,0.0,1.0,P030000252
0.0,0.0,0.0,1.0,0.0,P030000254
0.0,1.0,1.0,1.0,1.0,P030000255
0.0,0.0,0.0,1.0,0.0,P030000256
0.0,0.0,0.0,1.0,0.0,P030000257
1.0,0.0,0.0,0.0,0.0,P030000258
0.0,1.0,1.0,0.0,1.0,P030000259
0.0,0.0,0.0,1.0,0.0,P030000260
0.0,1.0,1.0,0.0,0.0,P030000262
0.0,0.0,0.0,1.0,0.0,P030000263
0.0,1.0,1.0,0.0,1.0,P030000264
0.0,1.0,1.0,0.0,1.0,P030000265
0.0,0.0,0.0,1.0,0.0,P030000266
0.0,0.0,0.0,1.0,0.0,P030000267
0.0,1.0,1.0,1.0,0.0,P030000268
0.0,1.0,1.0,0.0,1.0,P030000269
0.0,1.0,0.0,1.0,0.0,P030000270
0.0,0.0,0.0,1.0,0.0,P030000271
0.0,0.0,0.0,1.0,0.0,P030000272
0.0,0.0,0.0,1.0,0.0,P030000273
0.0,0.0,0.0,1.0,0.0,P030000274
0.0,0.0,0.0,0.0,0.0,P030000275
1.0,0.0,0.0,0.0,1.0,P030000276
0.0,0.0,0.0,1.0,0.0,P030000277
0.0,1.0,1.0,0.0,0.0,P030000278
0.0,0.0,0.0,1.0,0.0,P030000279
0.0,0.0,0.0,0.0,0.0,P030000280
0.0,0.0,0.0,1.0,0.0,P030000281
0.0,0.0,0.0,1.0,0.0,P030000282
0.0,1.0,1.0,0.0,1.0,P030000284
0.0,1.0,1.0,0.0,1.0,P030000285
0.0,1.0,0.0,1.0,1.0,P030000286
1.0,1.0,1.0,1.0,0.0,P030000287
0.0,1.0,1.0,0.0,1.0,P030000288
0.0,1.0,1.0,0.0,1.0,P030000289
0.0,1.0,1.0,0.0,1.0,P030000290
0.0,0.0,0.0,1.0,0.0,P030000291
0.0,1.0,1.0,1.0,0.0,P030000292
0.0,0.0,0.0,1.0,0.0,P030000293
0.0,0.0,0.0,1.0,0.0,P030000294
0.0,1.0,1.0,0.0,1.0,P030000295
0.0,0.0,0.0,1.0,0.0,P030000296
0.0,1.0,0.0,1.0,0.0,P030000297
0.0,0.0,0.0,1.0,0.0,P030000299
0.0,1.0,1.0,0.0,1.0,P030000300
0.0,0.0,0.0,1.0,0.0,P030000301
0.0,1.0,1.0,0.0,1.0,P030000303
0.0,1.0,0.0,1.0,0.0,P030000304
1.0,0.0,0.0,0.0,1.0,P030000305
0.0,1.0,1.0,0.0,1.0,P030000306
0.0,0.0,0.0,1.0,0.0,P030000307
0.0,1.0,1.0,1.0,1.0,P030000308
0.0,0.0,0.0,1.0,0.0,P030000309
0.0,0.0,0.0,1.0,0.0,P030000310
0.0,0.0,0.0,1.0,0.0,P030000311
0.0,0.0,0.0,1.0,0.0,P030000312
0.0,0.0,0.0,1.0,0.0,P030000313
0.0,1.0,1.0,0.0,1.0,P030000315
0.0,0.0,0.0,1.0,0.0,P030000316
0.0,0.0,0.0,1.0,0.0,P030000317
0.0,1.0,1.0,0.0,1.0,P030000318
0.0,0.0,0.0,1.0,0.0,P030000319
0.0,1.0,0.0,0.0,0.0,P030000320
0.0,0.0,0.0,1.0,0.0,P030000321
0.0,1.0,1.0,0.0,1.0,P030000322
0.0,0.0,0.0,1.0,0.0,P030000323
1.0,1.0,1.0,1.0,0.0,P030000324
0.0,0.0,0.0,1.0,0.0,P030000325
0.0,1.0,1.0,1.0,0.0,P030000326
0.0,1.0,1.0,0.0,0.0,P030000329
0.0,0.0,0.0,1.0,0.0,P030000330
0.0,1.0,1.0,0.0,1.0,P030000331
0.0,0.0,1.0,1.0,0.0,P030000332
0.0,0.0,0.0,1.0,0.0,P030000333
0.0,1.0,1.0,0.0,1.0,P030000335
0.0,1.0,1.0,0.0,1.0,P030000336
0.0,1.0,0.0,1.0,0.0,P030000337
0.0,0.0,0.0,1.0,0.0,P030000338
0.0,1.0,1.0,0.0,0.0,P030000339
0.0,0.0,0.0,1.0,0.0,P030000340
0.0,0.0,0.0,1.0,0.0,P030000341
0.0,0.0,0.0,1.0,0.0,P030000342
0.0,0.0,0.0,1.0,0.0,P030000343
0.0,1.0,0.0,1.0,0.0,P030000344
0.0,0.0,0.0,1.0,0.0,P030000345
0.0,0.0,0.0,0.0,1.0,P030000346
0.0,1.0,0.0,1.0,0.0,P030000347
0.0,0.0,0.0,1.0,0.0,P030000348
0.0,0.0,0.0,1.0,0.0,P030000349
0.0,1.0,1.0,0.0,1.0,P030000351
0.0,1.0,0.0,0.0,1.0,P030000352
0.0,1.0,1.0,0.0,1.0,P030000353
0.0,0.0,0.0,1.0,0.0,P030000354
0.0,0.0,0.0,1.0,0.0,P030000355
0.0,1.0,1.0,1.0,0.0,P030000356
0.0,0.0,0.0,1.0,0.0,P030000357
0.0,0.0,0.0,1.0,0.0,P030000358
0.0,1.0,1.0,1.0,0.0,P030000359
0.0,0.0,0.0,0.0,1.0,P030000361
0.0,0.0,0.0,1.0,0.0,P030000362
0.0,1.0,0.0,1.0,1.0,P030000363
0.0,1.0,0.0,1.0,1.0,P030000364
0.0,0.0,1.0,1.0,0.0,P030000365
0.0,0.0,0.0,1.0,0.0,P030000366
0.0,1.0,1.0,1.0,0.0,P030000367
0.0,1.0,0.0,0.0,1.0,P030000368
0.0,0.0,0.0,0.0,1.0,P030000369
0.0,1.0,0.0,1.0,0.0,P030000370
0.0,0.0,0.0,1.0,0.0,P030000371
0.0,0.0,0.0,1.0,0.0,P030000372
1.0,1.0,1.0,0.0,1.0,P030000374
0.0,0.0,0.0,0.0,0.0,P030000375
0.0,1.0,1.0,1.0,0.0,P030000376
0.0,0.0,0.0,1.0,0.0,P030000377
0.0,1.0,1.0,0.0,1.0,P030000378
0.0,0.0,0.0,1.0,0.0,P030000379
0.0,0.0,0.0,1.0,0.0,P030000380
0.0,1.0,0.0,1.0,0.0,P030000381
0.0,0.0,0.0,1.0,0.0,P030000382
1.0,0.0,0.0,1.0,0.0,P030000383
0.0,0.0,0.0,1.0,0.0,P030000384
0.0,0.0,0.0,1.0,1.0,P030000385
0.0,1.0,1.0,0.0,1.0,P030000386
0.0,0.0,0.0,1.0,0.0,P030000387
0.0,1.0,0.0,1.0,0.0,P030000388
0.0,0.0,0.0,1.0,0.0,P030000389
0.0,1.0,1.0,0.0,1.0,P030000390
0.0,0.0,0.0,1.0,0.0,P030000391
0.0,0.0,0.0,1.0,0.0,P030000392
0.0,0.0,0.0,1.0,0.0,P030000393
1.0,1.0,0.0,1.0,0.0,P030000394
0.0,0.0,0.0,1.0,0.0,P030000395
0.0,0.0,0.0,1.0,0.0,P030000396
0.0,1.0,0.0,1.0,0.0,P030000397
0.0,1.0,1.0,1.0,1.0,P030000398
0.0,0.0,0.0,1.0,0.0,P030000399
0.0,1.0,1.0,0.0,1.0,P030000400
0.0,0.0,0.0,1.0,0.0,P030000401
0.0,0.0,0.0,1.0,0.0,P030000402
0.0,1.0,1.0,0.0,0.0,P030000403
1.0,1.0,1.0,0.0,1.0,P030000404
0.0,0.0,0.0,1.0,0.0,P030000405
1.0,0.0,0.0,1.0,0.0,P030000406
1.0,1.0,1.0,1.0,1.0,P030000407
0.0,0.0,0.0,1.0,0.0,P030000408
0.0,0.0,0.0,1.0,0.0,P030000409
0.0,0.0,0.0,1.0,0.0,P030000410
0.0,1.0,1.0,0.0,1.0,P030000411
0.0,1.0,1.0,0.0,1.0,P030000412
0.0,0.0,0.0,1.0,0.0,P030000413
0.0,0.0,0.0,1.0,0.0,P030000414
1.0,0.0,0.0,0.0,1.0,P030000415
0.0,0.0,0.0,1.0,0.0,P030000416
0.0,1.0,1.0,0.0,1.0,P030000417
0.0,0.0,0.0,1.0,0.0,P030000418
0.0,0.0,1.0,0.0,1.0,P030000419
0.0,1.0,0.0,1.0,0.0,P030000420
0.0,1.0,0.0,0.0,0.0,P030000421
1.0,0.0,0.0,1.0,0.0,P030000422
0.0,1.0,1.0,0.0,1.0,P030000423
0.0,0.0,0.0,1.0,0.0,P030000424
0.0,1.0,0.0,0.0,0.0,P030000425
0.0,1.0,0.0,1.0,0.0,P030000426
0.0,0.0,0.0,1.0,0.0,P030000427
0.0,1.0,1.0,0.0,1.0,P030000428
0.0,0.0,0.0,1.0,0.0,P030000429
0.0,0.0,0.0,1.0,0.0,P030000430
0.0,1.0,1.0,0.0,1.0,P030000431
0.0,1.0,1.0,1.0,0.0,P030000432
0.0,1.0,0.0,1.0,0.0,P030000433
1.0,0.0,0.0,1.0,0.0,P030000434
0.0,0.0,0.0,1.0,0.0,P030000435
0.0,0.0,0.0,1.0,0.0,P030000436
1.0,1.0,0.0,0.0,1.0,P030000437
0.0,1.0,0.0,1.0,1.0,P030000438
0.0,0.0,0.0,1.0,0.0,P030000439
0.0,0.0,0.0,1.0,0.0,P030000440
0.0,1.0,0.0,0.0,1.0,P030000441
0.0,1.0,1.0,0.0,1.0,P030000442
0.0,0.0,0.0,1.0,0.0,P030000443
0.0,1.0,1.0,1.0,1.0,P030000444
0.0,1.0,0.0,1.0,0.0,P030000445
0.0,1.0,1.0,0.0,1.0,P030000446
0.0,0.0,0.0,1.0,0.0,P030000447
0.0,1.0,0.0,1.0,1.0,P030000448
0.0,1.0,1.0,0.0,1.0,P030000449
0.0,1.0,1.0,1.0,1.0,P030000450
0.0,1.0,1.0,0.0,1.0,P030000451
0.0,0.0,0.0,1.0,0.0,P030000452
0.0,1.0,1.0,1.0,1.0,P030000453
0.0,0.0,1.0,1.0,0.0,P030000455
0.0,1.0,1.0,1.0,0.0,P030000456
0.0,0.0,0.0,1.0,0.0,P030000458
0.0,1.0,1.0,1.0,0.0,P030000459
0.0,0.0,0.0,1.0,0.0,P030000460
0.0,0.0,0.0,1.0,0.0,P030000461
0.0,0.0,0.0,1.0,0.0,P030000462
0.0,0.0,0.0,0.0,0.0,P030000463
0.0,1.0,0.0,1.0,0.0,P030000464
0.0,1.0,0.0,1.0,0.0,P030000465
0.0,1.0,0.0,0.0,0.0,P030000466
0.0,0.0,0.0,1.0,0.0,P030000467
0.0,1.0,1.0,0.0,1.0,P030000468
0.0,0.0,0.0,1.0,0.0,P030000469
0.0,0.0,0.0,1.0,0.0,P030000470
0.0,0.0,0.0,1.0,0.0,P030000471
0.0,0.0,0.0,1.0,0.0,P030000472
0.0,0.0,0.0,1.0,0.0,P030000473
0.0,0.0,0.0,0.0,0.0,P030000476
1.0,1.0,1.0,0.0,1.0,P030000477
0.0,1.0,1.0,0.0,1.0,P030000478
0.0,1.0,1.0,1.0,1.0,P030000481
0.0,1.0,1.0,0.0,1.0,P030000482
1.0,1.0,0.0,1.0,0.0,P030000483
0.0,0.0,0.0,1.0,0.0,P030000484
1.0,0.0,0.0,1.0,0.0,P030000485
0.0,0.0,0.0,0.0,0.0,P030000486
0.0,0.0,0.0,1.0,0.0,P030000487
0.0,0.0,0.0,1.0,0.0,P030000488
0.0,1.0,1.0,1.0,0.0,P030000489
0.0,0.0,0.0,1.0,0.0,P030000490
0.0,1.0,1.0,0.0,1.0,P030000491
0.0,0.0,1.0,0.0,1.0,P030000492
1.0,1.0,0.0,1.0,0.0,P030000493
0.0,0.0,0.0,1.0,0.0,P030000494
0.0,0.0,0.0,1.0,0.0,P030000495
0.0,1.0,1.0,1.0,0.0,P030000496
0.0,1.0,1.0,0.0,1.0,P030000497
0.0,0.0,0.0,1.0,0.0,P030000498
0.0,1.0,1.0,0.0,1.0,P030000499
0.0,1.0,1.0,0.0,1.0,P030000500
0.0,0.0,0.0,1.0,0.0,P030000501
0.0,1.0,0.0,1.0,0.0,P030000502
0.0,1.0,0.0,1.0,0.0,P030000503
0.0,0.0,0.0,1.0,0.0,P030000504
0.0,0.0,0.0,1.0,0.0,P030000505
0.0,1.0,0.0,1.0,1.0,P030000506
1.0,1.0,1.0,0.0,1.0,P030000507
0.0,1.0,1.0,1.0,0.0,P030000508
0.0,1.0,1.0,0.0,1.0,P030000509
0.0,1.0,0.0,0.0,0.0,P030000510
0.0,1.0,1.0,0.0,1.0,P030000511
0.0,1.0,0.0,1.0,1.0,P030000512
0.0,0.0,0.0,1.0,0.0,P030000513
0.0,1.0,1.0,0.0,1.0,P030000514
0.0,0.0,0.0,1.0,0.0,P030000515
0.0,1.0,1.0,0.0,1.0,P030000516
0.0,0.0,1.0,1.0,1.0,P030000517
0.0,1.0,0.0,1.0,0.0,P030000518
0.0,0.0,0.0,1.0,0.0,P030000519
0.0,1.0,0.0,1.0,1.0,P030000520
0.0,0.0,0.0,1.0,1.0,P030000521
1.0,1.0,1.0,0.0,1.0,P030000522
0.0,0.0,1.0,0.0,1.0,P030000523
0.0,1.0,1.0,0.0,1.0,P030000524
0.0,1.0,1.0,0.0,1.0,P030000525
0.0,0.0,0.0,1.0,0.0,P030000526
0.0,1.0,1.0,1.0,0.0,P030000527
0.0,0.0,0.0,1.0,0.0,P030000528
0.0,1.0,1.0,0.0,1.0,P030000529
1.0,0.0,0.0,1.0,0.0,P030000530
0.0,0.0,0.0,1.0,0.0,P030000531
0.0,0.0,0.0,1.0,0.0,P030000532
0.0,0.0,0.0,1.0,0.0,P030000533
0.0,0.0,0.0,1.0,0.0,P030000534
0.0,0.0,0.0,1.0,0.0,P030000535
0.0,0.0,0.0,1.0,0.0,P030000536
0.0,0.0,0.0,1.0,0.0,P030000537
0.0,0.0,0.0,1.0,0.0,P030000538
0.0,0.0,0.0,1.0,0.0,P030000539
0.0,1.0,1.0,1.0,0.0,P030000541
0.0,0.0,0.0,1.0,0.0,P030000542
0.0,1.0,1.0,0.0,1.0,P030000543
0.0,0.0,0.0,1.0,0.0,P030000544
